Drug,Gene1,Phenotype1,Gene2,Phenotype2,Recommendation
isoflurane,CACNA1S,None,RYR1,Uncertain Susceptibility,None
isoflurane,CACNA1S,None,RYR1,Malignant Hyperthermia Susceptibility,None
isoflurane,CACNA1S,None,RYR1,None,None
methoxyflurane,CACNA1S,Uncertain Susceptibility,RYR1,Uncertain Susceptibility,"Clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants."
methoxyflurane,CACNA1S,Uncertain Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
methoxyflurane,CACNA1S,Uncertain Susceptibility,RYR1,None,None
methoxyflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Uncertain Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
methoxyflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,None
methoxyflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,None,None
methoxyflurane,CACNA1S,None,RYR1,Uncertain Susceptibility,None
methoxyflurane,CACNA1S,None,RYR1,Malignant Hyperthermia Susceptibility,None
methoxyflurane,CACNA1S,None,RYR1,None,None
sevoflurane,CACNA1S,Uncertain Susceptibility,RYR1,Uncertain Susceptibility,"Clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants."
sevoflurane,CACNA1S,Uncertain Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
sevoflurane,CACNA1S,Uncertain Susceptibility,RYR1,None,None
sevoflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Uncertain Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
sevoflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,None
sevoflurane,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,None,None
sevoflurane,CACNA1S,None,RYR1,Uncertain Susceptibility,None
sevoflurane,CACNA1S,None,RYR1,Malignant Hyperthermia Susceptibility,None
sevoflurane,CACNA1S,None,RYR1,None,None
succinylcholine,CACNA1S,Uncertain Susceptibility,RYR1,Uncertain Susceptibility,"Clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants."
succinylcholine,CACNA1S,Uncertain Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
succinylcholine,CACNA1S,Uncertain Susceptibility,RYR1,None,None
succinylcholine,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Uncertain Susceptibility,"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."
succinylcholine,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,Malignant Hyperthermia Susceptibility,None
succinylcholine,CACNA1S,Malignant Hyperthermia Susceptibility,RYR1,None,None
succinylcholine,CACNA1S,None,RYR1,Uncertain Susceptibility,None
succinylcholine,CACNA1S,None,RYR1,Malignant Hyperthermia Susceptibility,None
succinylcholine,CACNA1S,None,RYR1,None,None
ivacaftor,CFTR,Favorable Response,None,None,Use ivacaftor according to the product label.
ivacaftor,CFTR,Unfavorable Response,None,None,Ivacaftor is not recommended.
ivacaftor,CFTR,Indeterminate,None,None,None
citalopram,CYP2C19,Ultrarapid Metabolizer,None,None,Consider an alternative drug not predominantly metabolized by CYP2C19.
citalopram,CYP2C19,Rapid Metabolizer,None,None,Consider an alternative drug not predominantly metabolized by CYP2C19.
citalopram,CYP2C19,Normal Metabolizer,None,None,Initiate therapy with recommended starting dose.
citalopram,CYP2C19,Likely Intermediate Metabolizer,None,None,Initiate therapy with recommended starting dose.
citalopram,CYP2C19,Intermediate Metabolizer,None,None,Initiate therapy with recommended starting dose.
citalopram,CYP2C19,Likely Poor Metabolizer,None,None,Consider a 50% reduction of recommended starting dose and titrate to response or select alternative drug not predominantly metabolized by CYP2C19.
citalopram,CYP2C19,Poor Metabolizer,None,None,Consider a 50% reduction of recommended starting dose and titrate to response or select alternative drug not predominantly metabolized by CYP2C19.
citalopram,CYP2C19,Indeterminate,None,None,None
escitalopram,CYP2C19,Ultrarapid Metabolizer,None,None,Consider an alternative drug not predominantly metabolized by CYP2C19.
escitalopram,CYP2C19,Rapid Metabolizer,None,None,Consider an alternative drug not predominantly metabolized by CYP2C19.
escitalopram,CYP2C19,Normal Metabolizer,None,None,Initiate therapy with recommended starting dose.
escitalopram,CYP2C19,Likely Intermediate Metabolizer,None,None,Initiate therapy with recommended starting dose.
escitalopram,CYP2C19,Intermediate Metabolizer,None,None,Initiate therapy with recommended starting dose.
escitalopram,CYP2C19,Likely Poor Metabolizer,None,None,Consider a 50% reduction of recommended starting dose and titrate to response or select alternative drug not predominantly metabolized by CYP2C19.
escitalopram,CYP2C19,Poor Metabolizer,None,None,Consider a 50% reduction of recommended starting dose and titrate to response or select alternative drug not predominantly metabolized by CYP2C19.
escitalopram,CYP2C19,Indeterminate,None,None,None
clopidogrel,CYP2C19,Ultrarapid Metabolizer,None,None,"If considering clopidogrel, use at standard dose (75 mg/day)."
clopidogrel,CYP2C19,Rapid Metabolizer,None,None,"If considering clopidogrel, use at standard dose (75 mg/day)."
clopidogrel,CYP2C19,Normal Metabolizer,None,None,"If considering clopidogrel, use at standard dose (75 mg/day)."
clopidogrel,CYP2C19,Likely Intermediate Metabolizer,None,None,Avoid standard dose clopidogrel (75 mg) if possible. Use prasugrel or ticagrelor at standard dose if no contraindication.
clopidogrel,CYP2C19,Intermediate Metabolizer,None,None,Avoid standard dose (75 mg) clopidogrel if possible. Use prasugrel or ticagrelor at standard dose if no contraindication.
clopidogrel,CYP2C19,Likely Poor Metabolizer,None,None,Avoid standard dose (75 mg/day) clopidogrel if possible. Use prasugrel or ticagrelor at standard dose if no contraindication.
clopidogrel,CYP2C19,Poor Metabolizer,None,None,Avoid standard dose (75 mg/day) clopidogrel if possible. Use prasugrel or ticagrelor at standard dose if no contraindication.
clopidogrel,CYP2C19,Indeterminate,None,None,None
voriconazole,CYP2C19,Ultrarapid Metabolizer,None,None,"Choose an alternative agent that is not dependent on CYP2C19 metabolism as primary therapy in lieu of voriconazole. Such agents include isavuconazole, liposomal amphotericin B, and posaconazole."
voriconazole,CYP2C19,Rapid Metabolizer,None,None,"Choose an alternative agent that is not dependent on CYP2C19 metabolism as primary therapy in lieu of voriconazole. Such agents include isavuconazole, liposomal amphotericin B, and posaconazole."
voriconazole,CYP2C19,Normal Metabolizer,None,None,Initiate therapy with recommended standard of care dosing.
voriconazole,CYP2C19,Likely Intermediate Metabolizer,None,None,Initiate therapy with recommended standard of care dosing.
voriconazole,CYP2C19,Intermediate Metabolizer,None,None,Initiate therapy with recommended standard of care dosing.
voriconazole,CYP2C19,Likely Poor Metabolizer,None,None,"Choose an alternative agent that is not dependent on CYP2C19 metabolism as primary therapy in lieu of voriconazole. Such agents include isavuconazole, liposomal amphotericin B, and posaconazole. In the event that voriconazole is considered to be the most appropriate agent, based on clinical advice, for a patient with poor metabolizer genotype, voriconazole should be administered at a preferably lower than standard dosage with careful therapeutic drug monitoring."
voriconazole,CYP2C19,Poor Metabolizer,None,None,"Choose an alternative agent that is not dependent on CYP2C19 metabolism as primary therapy in lieu of voriconazole. Such agents include isavuconazole, liposomal amphotericin B, and posaconazole. In the event that voriconazole is considered to be the most appropriate agent, based on clinical advice, for a patient with poor metabolizer genotype, voriconazole should be administered at a preferably lower than standard dosage with careful therapeutic drug monitoring."
voriconazole,CYP2C19,Indeterminate,None,None,None
sertraline,CYP2C19,Ultrarapid Metabolizer,None,None,"Initiate therapy with recommended starting dose. If patient does not respond to recommended maintenance dosing, consider alternative drug not predominantly metabolized by CYP2C19."
sertraline,CYP2C19,Rapid Metabolizer,None,None,"Initiate therapy with recommended starting dose. If patient does not respond to recommended maintenance dosing, consider alternative drug not predominantly metabolized by CYP2C19."
sertraline,CYP2C19,Normal Metabolizer,None,None,Initiate therapy with recommended starting dose.
sertraline,CYP2C19,Likely Intermediate Metabolizer,None,None,Initiate therapy with recommended starting dose.
